instance,optimal_fvs,directed_BST_exact_fvs,directed_BST_exact_score,directed_IC_exact_fvs,directed_IC_exact_score,directed_MA_exact_fvs,directed_MA_exact_score,directed_brute_force_fvs,directed_brute_force_score,directed_fvs_check_fvs,directed_fvs_check_score
ego_001124.txt,11.0,11.0,100.0,11.0,100.0,11.0,100.0,N/A,N/A,N/A,N/A
er_001124.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
scale_free_001124.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
dag_001125.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001125.txt,4.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,N/A,N/A
ego_001125.txt,6.0,6.0,100.0,6.0,100.0,6.0,100.0,6.0,100.0,N/A,N/A
er_001125.txt,8.0,8.0,100.0,8.0,100.0,8.0,100.0,N/A,N/A,N/A,N/A
scale_free_001125.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
dag_001126.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001126.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
ego_001126.txt,13.0,13.0,100.0,13.0,100.0,13.0,100.0,N/A,N/A,N/A,N/A
er_001126.txt,5.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,N/A,N/A
scale_free_001126.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
dag_001127.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001127.txt,7.0,7.0,100.0,7.0,100.0,7.0,100.0,N/A,N/A,N/A,N/A
ego_001127.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
er_001127.txt,12.0,12.0,100.0,12.0,100.0,12.0,100.0,N/A,N/A,N/A,N/A
scale_free_001127.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
dag_001128.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001128.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
ego_001128.txt,10.0,10.0,100.0,10.0,100.0,10.0,100.0,N/A,N/A,N/A,N/A
er_001128.txt,15.0,N/A,N/A,15.0,100.0,16.0,93.75,N/A,N/A,N/A,N/A
scale_free_001128.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
dag_001129.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001129.txt,4.0,4.0,100.0,4.0,100.0,4.0,100.0,4.0,100.0,N/A,N/A
ego_001129.txt,8.0,8.0,100.0,8.0,100.0,8.0,100.0,N/A,N/A,N/A,N/A
er_001129.txt,17.0,N/A,N/A,17.0,100.0,17.0,100.0,N/A,N/A,N/A,N/A
scale_free_001129.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
dag_001130.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001130.txt,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,N/A,N/A
ego_001130.txt,7.0,7.0,100.0,7.0,100.0,7.0,100.0,7.0,100.0,N/A,N/A
er_001130.txt,14.0,N/A,N/A,14.0,100.0,14.0,100.0,N/A,N/A,N/A,N/A
scale_free_001130.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
dag_001131.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
dgrid_001131.txt,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,N/A,N/A
ego_001131.txt,2.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,N/A,N/A
