file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time
h_066,16384,119886,15447,30.157008,True,0.0,0.0
h_067,8192,138733,7530,30.180088,True,0.0,0.0
h_068,25678,121390,23457,30.361026,True,0.0,0.0
h_069,8192,156904,7811,30.234795,True,0.0,0.0
h_070,8192,168293,7219,30.435555,True,0.0,0.0
h_071,8192,168714,7880,30.243699,True,0.0,0.0
h_072,32078,149020,28930,30.434918,True,0.0,0.0
h_073,16384,166938,14985,30.187451,True,0.0,0.0
h_074,16384,169955,15355,30.173965,True,0.0,0.0
h_075,34978,169522,33305,30.418958,True,0.0,0.0
h_076,36705,170621,33908,30.46587,True,0.0,0.0
h_077,62586,147892,9949,30.345638,True,0.0,0.0
h_078,8192,204075,7892,30.256418,True,0.0,0.0
h_079,16384,216334,15729,30.295887,True,0.0,0.0
h_080,24818,227991,13401,30.546713,True,0.0,0.0
h_081,32768,224254,32299,30.278379,True,0.0,0.0
h_082,48665,222764,43646,30.685489,True,0.0,0.0
h_083,32768,256256,32001,30.324459,True,0.0,0.0
h_084,16384,273584,15487,30.36385,True,0.0,0.0
h_085,16384,283794,16108,30.397575,True,0.0,0.0
